Dimension;Threads_num;Elapsed time;Block size,Method
20000;16;0.678669;20;parallel
20000;32;0.347216;20;parallel
20000;64;0.217680;20;parallel
20000;1;3.700000;25;serial
20000;1;4.809910;25;parallel
20000;2;2.506146;25;parallel
20000;4;1.401067;25;parallel
20000;8;1.030982;25;parallel
20000;16;0.735555;25;parallel
20000;32;0.348885;25;parallel
20000;64;0.373592;25;parallel
20000;1;3.950000;32;serial
20000;1;4.636197;32;parallel
20000;2;2.918707;32;parallel
20000;4;1.379940;32;parallel
20000;8;0.808685;32;parallel
20000;16;0.539725;32;parallel
20000;32;0.267984;32;parallel
20000;64;0.215006;32;parallel
20000;1;4.290000;40;serial
20000;1;5.061957;40;parallel
20000;2;2.661414;40;parallel
20000;4;1.649334;40;parallel
20000;8;1.181066;40;parallel
20000;16;0.759044;40;parallel
20000;32;0.303742;40;parallel
20000;64;0.349242;40;parallel
20000;1;4.540000;50;serial
20000;1;5.505013;50;parallel
20000;2;2.661379;50;parallel
20000;4;1.421042;50;parallel
20000;8;0.986145;50;parallel
20000;16;0.527507;50;parallel
20000;32;0.260808;50;parallel
20000;64;0.208666;50;parallel
20000;1;4.080000;80;serial
20000;1;5.033359;80;parallel
20000;2;2.421512;80;parallel
20000;4;1.325081;80;parallel
20000;8;0.752943;80;parallel
20000;16;0.526019;80;parallel
20000;32;0.430063;80;parallel
20000;64;0.284120;80;parallel
20000;1;4.360000;100;serial
20000;1;5.207481;100;parallel
20000;2;2.647359;100;parallel
20000;4;1.448682;100;parallel
20000;8;0.894265;100;parallel
20000;16;0.538404;100;parallel
20000;32;0.248520;100;parallel
20000;64;0.189082;100;parallel
20000;1;4.220000;125;serial
20000;1;5.238485;125;parallel
20000;2;2.695413;125;parallel
20000;4;1.386919;125;parallel
20000;8;0.768736;125;parallel
20000;16;0.553867;125;parallel
20000;32;0.366764;125;parallel
20000;64;0.217887;125;parallel
80000;1;93.170000;2;serial
80000;1;36.127222;2;parallel
80000;2;20.938180;2;parallel
80000;4;10.923944;2;parallel
80000;8;6.321652;2;parallel
80000;16;4.151289;2;parallel
80000;32;3.040298;2;parallel
80000;64;2.679873;2;parallel
80000;1;68.730000;4;serial
80000;1;29.838621;4;parallel
80000;2;15.676999;4;parallel
80000;4;10.091013;4;parallel
80000;8;5.264642;4;parallel
80000;16;3.520467;4;parallel
80000;32;2.263801;4;parallel
80000;64;1.777114;4;parallel
80000;1;61.410000;5;serial
80000;1;28.318238;5;parallel
80000;2;14.235906;5;parallel
80000;4;7.930356;5;parallel
80000;8;5.130002;5;parallel
80000;16;2.945981;5;parallel
80000;32;2.242831;5;parallel
80000;64;1.710981;5;parallel
80000;1;55.670000;8;serial
80000;1;25.898302;8;parallel
80000;2;13.745296;8;parallel
80000;4;7.756622;8;parallel
80000;8;4.726287;8;parallel
80000;16;2.864904;8;parallel
80000;32;2.001474;8;parallel
80000;64;1.543147;8;parallel
80000;1;53.390000;10;serial
80000;1;25.867548;10;parallel
80000;2;13.712411;10;parallel
80000;4;8.103431;10;parallel
80000;8;4.781023;10;parallel
80000;16;2.898262;10;parallel
80000;32;1.891886;10;parallel
80000;64;1.441960;10;parallel
80000;1;48.520000;16;serial
80000;1;28.125430;16;parallel
80000;2;13.106957;16;parallel
80000;4;7.377359;16;parallel
80000;8;4.326418;16;parallel
80000;16;2.592438;16;parallel
80000;32;1.669290;16;parallel
80000;64;1.391108;16;parallel
80000;1;48.420000;20;serial
80000;1;26.458383;20;parallel
80000;2;12.875376;20;parallel
80000;4;7.419222;20;parallel
80000;8;4.115880;20;parallel
80000;16;2.394894;20;parallel
80000;32;1.697034;20;parallel
80000;64;1.367878;20;parallel
80000;1;45.980000;25;serial
80000;1;24.639243;25;parallel
80000;2;12.540614;25;parallel
80000;4;6.686029;25;parallel
80000;8;3.993877;25;parallel
80000;16;2.383877;25;parallel
80000;32;1.581059;25;parallel
80000;64;1.304829;25;parallel
80000;1;51.710000;32;serial
80000;1;24.599284;32;parallel
80000;2;12.943033;32;parallel
80000;4;6.947729;32;parallel
80000;8;4.150299;32;parallel
80000;16;2.293804;32;parallel
80000;32;1.460766;32;parallel
80000;64;1.215722;32;parallel
80000;1;51.380000;40;serial
80000;1;25.449797;40;parallel
80000;2;12.487216;40;parallel
80000;4;6.811691;40;parallel
80000;8;3.864284;40;parallel
80000;16;2.242389;40;parallel
80000;32;1.545346;40;parallel
80000;64;1.256494;40;parallel
80000;1;51.430000;50;serial
80000;1;24.831801;50;parallel
80000;2;12.989163;50;parallel
80000;4;7.452181;50;parallel
80000;8;3.987642;50;parallel
80000;16;2.241603;50;parallel
80000;32;1.542489;50;parallel
80000;64;1.279179;50;parallel
80000;1;50.780000;64;serial
80000;1;24.600131;64;parallel
80000;2;12.852163;64;parallel
80000;4;7.057437;64;parallel
80000;8;3.811531;64;parallel
80000;16;2.505399;64;parallel
80000;32;1.487849;64;parallel
80000;64;1.198593;64;parallel
80000;1;50.320000;80;serial
80000;1;24.575361;80;parallel
80000;2;12.396416;80;parallel
80000;4;6.812444;80;parallel
80000;8;3.696447;80;parallel
80000;16;2.297165;80;parallel
80000;32;1.554230;80;parallel
80000;64;1.233264;80;parallel
80000;1;49.740000;100;serial
80000;1;24.308308;100;parallel
